"scenario","region_id","pop","estimate","Outcome","number","Pollutant","Cause","double_counted","AgeGrp","region_name","iso3","version","epi_version","pop_year","rr_sources","ref"
"scenario","BGD.1_1",8038946.67188847,"central","YLLs",-22182.7625510924,"PM25","LRI.child",FALSE,"0-4","Barisal","BGD","0.6.1","gbd2021",2021,"gbd2023","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","Deaths.child",-248.258578517114,"PM25","LRI.child",FALSE,"0-4","Barisal","BGD","0.6.1","gbd2021",2021,"gbd2023","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","YLLs",-32628.9499244597,"PM25","COPD",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"gbd2023","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","YLDs",-8169.7667317013,"PM25","COPD",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"gbd2023","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","Deaths",-1703.3731125618,"PM25","COPD",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"gbd2023","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","YLDs",-9965.32391514778,"PM25","Diabetes",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"gbd2023","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","Deaths",-507.459948422328,"PM25","Diabetes",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"gbd2023","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","YLLs",-3355.26653580581,"PM25","LC",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"gbd2023","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","Deaths",-127.060541419699,"PM25","LC",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"gbd2023","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","YLLs",-5143.33294018168,"PM25","Dementia",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"gbd2023","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","YLDs",-2238.41363653811,"PM25","Dementia",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"gbd2023","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","Deaths",-353.659016627822,"PM25","Dementia",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"gbd2023","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","YLLs",-65690.8892229283,"PM25","IHD",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"gbd2023","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","Deaths",-2745.68858388507,"PM25","IHD",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"gbd2023","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","YLLs",-7547.56978893065,"PM25","LRI",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"gbd2023","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","Deaths",-374.200935090726,"PM25","LRI",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"gbd2023","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","YLLs",-71441.12396147,"PM25","Stroke",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"gbd2023","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","YLDs",-3808.15193968268,"PM25","Stroke",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"gbd2023","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","Deaths",-3426.00734309824,"PM25","Stroke",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"gbd2023","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","exac",-11209.9516343668,"PM25","Asthma",FALSE,"0-18","Barisal","BGD","0.6.1","gbd2021",2021,"gbd2023","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","exac",-13009.6301158612,"PM25","Asthma",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"gbd2023","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","PTB",-32396.207426848,"PM25","PTB",FALSE,"Newborn","Barisal","BGD","0.6.1","gbd2021",2021,"gbd2023","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","LBW",-26415.8017078919,"PM25","LBW",FALSE,"Newborn","Barisal","BGD","0.6.1","gbd2021",2021,"gbd2023","0.6.1"
