"scenario","region_id","pop","estimate","Outcome","number","Pollutant","Cause","double_counted","AgeGrp","region_name","iso3","version","epi_version","pop_year","rr_sources","ref"
"scenario","BGD.1_1",8038946.67188847,"central","YLLs",-30084.2750044621,"PM25","LRI.child",FALSE,"0-4","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","Deaths.child",-336.68842332525,"PM25","LRI.child",FALSE,"0-4","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","YLLs",-92808.9043922957,"PM25","IHD",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","Deaths",-3567.02434507824,"PM25","IHD",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","YLLs",-77170.2525561652,"PM25","Stroke",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","YLDs",-4465.4716915664,"PM25","Stroke",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","Deaths",-3319.48155492449,"PM25","Stroke",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","YLLs",-30402.3341676572,"PM25","COPD",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","YLDs",-7612.25779021464,"PM25","COPD",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","Deaths",-1587.13408492148,"PM25","COPD",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","YLLs",-4079.84649555552,"PM25","LC",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","Deaths",-154.499649760328,"PM25","LC",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","YLLs",-10236.0183778994,"PM25","LRI",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","Deaths",-507.491517896714,"PM25","LRI",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","YLDs",-19251.7335412444,"PM25","Diabetes",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","Deaths",-980.347833453782,"PM25","Diabetes",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","YLLs",-271130.122939452,"PM25","NCD.LRI",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","Deaths",-12083.4553466413,"PM25","NCD.LRI",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","exac",-11209.9516343668,"PM25","Asthma",FALSE,"0-18","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","exac",-13009.6301158612,"PM25","Asthma",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","PTB",-32396.207426848,"PM25","PTB",FALSE,"Newborn","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","LBW",-26415.8017078919,"PM25","LBW",FALSE,"Newborn","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"central","Absences",-9385100.83607304,"PM25","Absences",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"low","YLLs",-15999.805208561,"PM25","LRI.child",FALSE,"0-4","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"low","Deaths.child",-179.111390435343,"PM25","LRI.child",FALSE,"0-4","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"low","YLLs",-58547.5361728218,"PM25","IHD",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"low","Deaths",-2266.82990929016,"PM25","IHD",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"low","YLLs",-42726.7427531675,"PM25","Stroke",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"low","YLDs",-2237.77652343168,"PM25","Stroke",FALSE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"low","Deaths",-1855.27977657274,"PM25","Stroke",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
"scenario","BGD.1_1",8038946.67188847,"low","YLLs",-17761.3961304233,"PM25","COPD",TRUE,"25+","Barisal","BGD","0.6.1","gbd2021",2021,"fusion","0.6.1"
