iso3,country,region,income_group,pop,location_level,location_name,location_id,estimate,Asthma.Inci.1to18,Asthma.Prev.1to18,exac.0to17,exac.18to99,PTB,LBW,COPD_Deaths,COPD_YLLs,AllCause_Deaths,AllCause_YLLs,Absences,NCD.LRI_Deaths,NCD.LRI_YLDs,NCD.LRI_YLLs,LRI.child_YLLs,LRI.child_Deaths,AllCause_YLDs,COPD_YLDs,Diabetes_Deaths,Diabetes_YLDs,Diabetes_YLLs,IHD_Deaths,IHD_YLDs,IHD_YLLs,LRI_Deaths,LRI_YLDs,LRI_YLLs,Stroke_Deaths,Stroke_YLDs,Stroke_YLLs,LC_Deaths,LC_YLDs,LC_YLLs,TotCV_Deaths,TotResp_Deaths,OthCV_Deaths,OthResp_Deaths,TotCV_YLDs,TotResp_YLDs,OthCV_YLDs,OthResp_YLDs,TotCV_YLLs,TotResp_YLLs,OthCV_YLLs,OthResp_YLLs
AUS,Australia,East Asia & Pacific,High income,24568113.4912073,3,Australia,71,central,303.280453627573,2656.69656065155,365.385175105639,830.006882998892,108.36,82.14519852,37.8096634308964,527.399512158907,681.362077402376,10674.0629594367,478244.85919859,643.882381017484,9341.91608510061,9814.17211038495,9.85172872142084,0.112078193572048,11113.390066981,324.227372445697,16.7710369910015,447.145233518446,241.146230612373,108.332776894495,84.1182450828069,1427.32732701794,17.2006338170045,2.51352939037262,185.976667631526,51.8820870823896,149.106554474227,607.478274267042,40.8194200964895,13.3727327539352,784.650126688116,209.68748578651,45.450317766163,48.4441584359464,7.255665461608,487.423103596327,512.506525733168,254.198304039293,188.279153287471,2676.88187411095,648.723906918281,636.768358263531,115.712799204926
AUS,Australia,East Asia & Pacific,High income,24568113.4912073,3,Australia,71,low,171.000100845213,1784.4844666826,365.385175105639,830.006882998892,108.36,82.14519852,30.4038241535387,431.138773749375,669.695993437385,10467.4042772962,478244.85919859,626.980812585375,6949.69909524973,9546.4617854044,7.39874797284557,0.0842373430290682,8288.70726183973,248.861267439097,13.8944491099676,283.562527041993,201.09295155559,90.4015987612099,51.0166906550082,1229.15128338222,13.2624130566081,1.50452697599099,143.034066586118,41.4823220594357,104.98162171335,481.28289289382,35.4086573331504,8.07656735155185,684.569632002984,178.316486412205,37.3493255174704,46.4325655915594,6.94550136393172,345.336893231663,390.103114397688,189.338580863304,141.241846958591,2347.20253453957,542.780079238497,602.248299185164,111.641305489123
AUS,Australia,East Asia & Pacific,High income,24568113.4912073,3,Australia,71,high,480.636156189482,3814.2046927971,365.385175105639,830.006882998892,108.36,82.14519852,44.8969756599904,623.07455664458,693.832664331695,10895.312670151,478244.85919859,661.504552855913,12016.3341675821,10092.8981198795,12.581251106399,0.14295435854901,14353.0480567125,397.604739819565,19.3944119136581,653.143804042951,282.717132978192,119.787899242832,129.077502576498,1572.42098875676,20.4681526720483,3.88496668246064,227.123532090177,60.1214109322493,195.705499291493,720.986508437315,45.9935525939428,20.0975434697892,885.525208704146,228.353468611027,52.1526411215984,49.4726218096246,7.64065433526655,647.230426373384,641.69267991921,322.447424505393,244.087940099646,2895.65579637924,738.787355849506,642.076272825967,121.324394759374
BRN,Brunei Darussalam,East Asia & Pacific,High income,437118.571311121,3,Brunei Darussalam,66,central,266.633759245432,1260.86060640287,328.097844412842,469.808824145869,154.951494140625,160.215670832,15.4290097162187,267.211856809265,395.602764848391,10252.8765026143,464936.196304135,361.297265819453,5841.7188147009,9041.31268502464,79.4429674842238,0.903847564200518,6812.51515163814,130.215073890701,36.9865288594755,795.632563082732,900.506853871586,59.1349328005904,14.9286738399762,1471.95294610308,17.015771630366,1.31351913102606,345.499158036682,32.3393062766112,188.957704389177,730.674546122263,23.520550655853,6.20727794498942,574.123154464106,114.124323134242,21.0189800113349,22.6500840570406,5.58997029511621,246.506663356286,232.957441129914,42.6202851271326,102.742367239212,2745.62975243163,386.887779558917,543.002260206285,119.675922749652
BRN,Brunei Darussalam,East Asia & Pacific,High income,437118.571311121,3,Brunei Darussalam,66,low,142.274608662733,761.004824135839,328.097844412842,469.808824145869,154.951494140625,160.215670832,12.0592539405201,205.043843886062,358.69095160528,9221.28661920572,464936.196304135,324.434528458747,4283.8600789054,8050.86279317658,57.0327054168628,0.649433750561698,5008.01709131351,99.8310869272488,29.4444691198774,507.28187051077,707.764610951508,49.2417064319288,8.7191968326427,1203.76750233268,12.8709377191842,0.745653175796192,252.85983519955,26.4168234153179,133.192948530315,585.281005584963,18.7604818388896,3.76782155134773,452.891357692024,99.9668550463442,17.6681092179201,20.6241048774961,5.32602864803396,177.104267051184,175.479552555645,35.192121688227,75.648465628396,2371.76464302821,321.842950408388,491.400596957752,116.799106522326
BRN,Brunei Darussalam,East Asia & Pacific,High income,437118.571311121,3,Brunei Darussalam,66,high,444.391114967634,1966.63593844879,328.097844412842,469.808824145869,154.951494140625,160.215670832,19.3194927404719,343.924996615395,437.442476257817,11411.8672685362,464936.196304135,402.910013040184,7633.55268045023,10148.7735136874,107.770998127378,1.22589480585368,8899.69274156904,161.521416347067,45.6857465018828,1175.34161354424,1127.43933725469,69.8340436014954,23.3414824630406,1768.52179858988,21.8766375713286,2.09229975395474,457.883477072983,39.3292759926071,248.430341419209,904.333297578426,29.0636932380721,9.26585405266661,715.723390907592,129.787424471599,24.6455213885059,24.3083251990975,5.6088552774,317.120508706707,298.014141188786,45.3486848244567,136.49272484172,3164.25569312605,470.097136427271,582.716135110572,126.172139811876
GUM,Guam,East Asia & Pacific,High income,170627.53133784,3,Guam,351,central,366.780651613676,1595.23978976205,350.246068916468,567.255177057906,89.47609222,70.2161750199999,21.9405968382033,387.675182207109,607.810764383156,13774.7949913526,435790.418842189,566.739414954057,6795.89662250222,12406.2385297598,223.760315341284,2.54194792063297,7739.39022989472,92.9939487470791,26.1452115198897,697.665577689762,601.212808890967,186.788601358671,118.207192930301,3973.10740585079,16.4530930952507,4.12644067172511,330.736919921046,53.3919504636473,374.724998815549,1136.97937706813,34.9765570383745,7.76722372513046,831.430657575032,273.8838719131,30.4082426804261,33.7033200907811,8.4676458422228,636.944700329296,160.90401499504,144.012508583445,67.9100662479613,5882.76022969958,576.824382611946,772.673446780658,189.149200404837
GUM,Guam,East Asia & Pacific,High income,170627.53133784,3,Guam,351,low,195.571839155527,976.440316471979,350.246068916468,567.255177057906,89.47609222,70.2161750199999,16.2625204125437,280.03116073197,526.576338155506,11743.7601791814,435790.418842189,487.29621504821,5004.02152062139,10481.9341430383,159.332177645973,1.81126429364746,5707.01963168727,71.9210350871693,19.4160165979839,448.029616171871,442.454815887616,151.358459645519,73.7457506556896,3208.18763568914,12.1345386711544,2.4379486117084,237.78837408725,40.6608314317098,265.40685239817,855.350711157361,26.3966046204737,4.5031412084129,619.964481761805,227.456993824608,24.2546407574074,29.9470113681706,7.99212034486375,461.392415641617,116.972313360756,122.239812587758,45.0512782735867,4871.58280717144,452.223154597476,703.075902129,172.191993865505
GUM,Guam,East Asia & Pacific,High income,170627.53133784,3,Guam,351,high,599.873412872235,2509.98953302217,350.246068916468,567.255177057906,89.47609222,70.2161750199999,28.8571418606792,522.475958845053,704.391537742037,16185.9737787031,435790.418842189,658.795788574988,8829.65951700975,14645.5374497465,300.485779884965,3.41198891920061,10033.5866723884,114.693759660328,34.2054546192588,1010.06490524514,794.422045550208,223.939841993819,176.416059662492,4835.2366897766,21.4544881271374,6.31554744563616,445.123263759868,68.1543407361088,484.987797121379,1484.84416988964,45.3616740905233,12.0321967267779,1092.27870554425,322.041194098098,38.290569895079,35.4377027473796,9.43342803439987,814.882562772701,204.330724840634,153.47870598883,89.6369651803053,7023.15676179525,738.718914141099,808.044460324941,216.242955296046
JPN,Japan,East Asia & Pacific,High income,127788411.12697,3,Japan,67,central,176.421144074211,797.786343623641,112.890865241811,442.095809015631,41.9619368,70.2161750199999,29.6594229175634,334.284527876703,1088.78168620685,14327.2005976304,445869.924795449,1027.07755944234,10859.1930491422,13121.5291373173,7.74250944893716,0.0887205725734379,12335.4166876307,277.237742378162,6.67923489623069,584.253531450897,91.7434346961912,109.934626619458,75.8595680885379,1355.79044874468,92.7869873117132,3.66772298418028,958.153928907343,113.120903789156,590.080838356054,1326.48285566243,67.2848174371224,25.0981255890404,1028.29235082745,291.149105996724,43.6088244483988,68.0935755881109,13.5694297229316,854.798501841542,437.002810598246,188.85809539695,159.765068220084,3443.41075480677,518.747292267175,761.137450399659,184.462764390472
